PLAYER_NAME,OFFENSIVE_RATING,DEFENSIVE_RATING
Aaron Brooks,99.0,109.0
Aaron Gordon,114.0,105.0
Aaron Harrison,77.0,103.0
Adreian Payne,81.0,108.0
Al Horford,113.0,101.0
Al Jefferson,105.0,102.0
Al-Farouq Aminu,105.0,107.0
Alan Anderson,107.0,108.0
Alec Burks,104.0,107.0
Alex Len,96.0,107.0
Alex Stepheson,105.0,105.33333333333333
Alexis Ajinça,100.0,107.0
Allen Crabbe,114.0,110.0
Alonzo Gee,108.0,110.0
Amir Johnson,117.0,102.0
Andre Drummond,103.0,98.0
Andre Iguodala,115.0,105.0
Andre Miller,109.66666666666667,107.33333333333333
Andre Roberson,119.0,106.0
Andrea Bargnani,100.0,115.0
Andrew Bogut,120.0,99.0
Andrew Goudelock,83.0,103.0
Andrew Nicholson,106.0,107.0
Anthony Bennett,94.0,102.0
Anthony Brown,88.0,114.0
Anthony Davis,110.0,104.0
Anthony Morrow,114.0,110.0
Archie Goodwin,95.0,111.0
Aron Baynes,114.0,104.0
Arron Afflalo,105.0,112.0
Austin Rivers,101.0,107.0
Avery Bradley,105.0,106.0
Ben McLemore,95.0,111.0
Bismack Biyombo,118.0,101.0
Blake Griffin,108.0,103.0
Boban Marjanovi?,130.0,96.0
Bobby Portis,100.0,106.0
Bojan Bogdanovi?,102.0,115.0
Boris Diaw,109.0,102.0
Bradley Beal,103.0,108.0
Branden Dawson,113.0,110.0
Brandon Bass,127.0,111.0
Brandon Jennings,105.0,108.0
Brandon Knight,100.0,111.0
Brandon Rush,108.0,106.0
Brian Roberts,110.66666666666667,109.66666666666667
Brook Lopez,109.0,109.0
Bruno Caboclo,29.0,107.0
Bryce Cotton,99.0,111.66666666666667
Bryce Dejean-Jones,99.0,110.0
C.J. Miles,104.0,104.0
CJ McCollum,108.0,110.0
Cameron Bairstow,86.0,104.0
Cameron Payne,104.0,105.0
Carl Landry,120.0,110.0
Carmelo Anthony,107.0,107.0
Caron Butler,106.0,109.0
Chandler Parsons,110.0,108.0
Channing Frye,113.66666666666667,105.66666666666667
Chase Budinger,102.66666666666667,107.66666666666667
Chris Andersen,123.0,104.0
Chris Bosh*,114.0,104.0
Chris Copeland,94.0,115.0
Chris Johnson,96.0,104.0
Chris Kaman,100.0,110.0
Chris McCullough,95.0,105.0
Chris Paul,119.0,103.0
Chuck Hayes,79.0,107.0
Cleanthony Early,72.0,109.0
Cliff Alexander,100.0,107.0
Clint Capela,114.0,104.0
Cole Aldrich,113.0,94.0
Corey Brewer,98.0,109.0
Cory Jefferson,105.0,110.0
Cory Joseph,106.0,108.0
Coty Clarke,96.0,108.0
Courtney Lee,108.66666666666667,108.33333333333333
Cristiano Felício,123.0,104.0
D'Angelo Russell,96.0,112.0
