PLAYER_NAME,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_PERCENTAGE
Aaron Brooks,Above the Break 3,Back Court(BC),Back Court Shot,0.0
Aaron Brooks,Above the Break 3,Center(C),24+ ft.,24.489795918367346
Aaron Brooks,Above the Break 3,Left Side Center(LC),24+ ft.,35.41666666666667
Aaron Brooks,Above the Break 3,Right Side Center(RC),24+ ft.,46.96969696969697
Aaron Brooks,Backcourt,Back Court(BC),Back Court Shot,0.0
Aaron Brooks,In The Paint (Non-RA),Center(C),8-16 ft.,31.57894736842105
Aaron Brooks,In The Paint (Non-RA),Center(C),Less Than 8 ft.,43.13725490196079
Aaron Brooks,In The Paint (Non-RA),Left Side(L),8-16 ft.,42.857142857142854
Aaron Brooks,In The Paint (Non-RA),Right Side(R),8-16 ft.,42.857142857142854
Aaron Brooks,Left Corner 3,Left Side(L),24+ ft.,16.666666666666664
Aaron Brooks,Mid-Range,Center(C),16-24 ft.,16.666666666666664
Aaron Brooks,Mid-Range,Center(C),8-16 ft.,50.0
Aaron Brooks,Mid-Range,Left Side Center(LC),16-24 ft.,38.46153846153847
Aaron Brooks,Mid-Range,Left Side(L),16-24 ft.,33.33333333333333
Aaron Brooks,Mid-Range,Left Side(L),8-16 ft.,42.857142857142854
Aaron Brooks,Mid-Range,Right Side Center(RC),16-24 ft.,45.45454545454545
Aaron Brooks,Mid-Range,Right Side(R),16-24 ft.,33.33333333333333
Aaron Brooks,Mid-Range,Right Side(R),8-16 ft.,40.0
Aaron Brooks,Restricted Area,Center(C),Less Than 8 ft.,47.15447154471545
Aaron Brooks,Right Corner 3,Right Side(R),24+ ft.,50.0
Aaron Gordon,Above the Break 3,Center(C),24+ ft.,31.25
Aaron Gordon,Above the Break 3,Left Side Center(LC),24+ ft.,27.027027027027028
Aaron Gordon,Above the Break 3,Right Side Center(RC),24+ ft.,30.76923076923077
Aaron Gordon,Backcourt,Back Court(BC),Back Court Shot,0.0
Aaron Gordon,In The Paint (Non-RA),Center(C),8-16 ft.,40.0
Aaron Gordon,In The Paint (Non-RA),Center(C),Less Than 8 ft.,38.46153846153847
Aaron Gordon,In The Paint (Non-RA),Left Side(L),8-16 ft.,0.0
Aaron Gordon,In The Paint (Non-RA),Right Side(R),8-16 ft.,25.0
Aaron Gordon,Left Corner 3,Left Side(L),24+ ft.,26.47058823529412
Aaron Gordon,Mid-Range,Center(C),16-24 ft.,37.5
Aaron Gordon,Mid-Range,Center(C),8-16 ft.,40.0
Aaron Gordon,Mid-Range,Left Side Center(LC),16-24 ft.,25.0
Aaron Gordon,Mid-Range,Left Side(L),16-24 ft.,42.10526315789473
Aaron Gordon,Mid-Range,Left Side(L),8-16 ft.,26.31578947368421
Aaron Gordon,Mid-Range,Right Side Center(RC),16-24 ft.,33.33333333333333
Aaron Gordon,Mid-Range,Right Side(R),16-24 ft.,20.0
Aaron Gordon,Mid-Range,Right Side(R),8-16 ft.,23.076923076923077
Aaron Gordon,Restricted Area,Center(C),Less Than 8 ft.,64.70588235294117
Aaron Gordon,Right Corner 3,Right Side(R),24+ ft.,43.47826086956522
Aaron Harrison,Above the Break 3,Center(C),24+ ft.,0.0
Aaron Harrison,Above the Break 3,Left Side Center(LC),24+ ft.,33.33333333333333
Aaron Harrison,Above the Break 3,Right Side Center(RC),24+ ft.,50.0
Aaron Harrison,Left Corner 3,Left Side(L),24+ ft.,0.0
Aaron Harrison,Mid-Range,Left Side Center(LC),16-24 ft.,0.0
Aaron Harrison,Mid-Range,Right Side Center(RC),16-24 ft.,0.0
Aaron Harrison,Restricted Area,Center(C),Less Than 8 ft.,40.0
Aaron Harrison,Right Corner 3,Right Side(R),24+ ft.,100.0
Adreian Payne,Above the Break 3,Center(C),24+ ft.,27.27272727272727
Adreian Payne,Above the Break 3,Left Side Center(LC),24+ ft.,37.5
Adreian Payne,Above the Break 3,Right Side Center(RC),24+ ft.,20.0
Adreian Payne,In The Paint (Non-RA),Center(C),8-16 ft.,0.0
Adreian Payne,In The Paint (Non-RA),Center(C),Less Than 8 ft.,27.27272727272727
Adreian Payne,In The Paint (Non-RA),Left Side(L),8-16 ft.,100.0
Adreian Payne,In The Paint (Non-RA),Right Side(R),8-16 ft.,100.0
Adreian Payne,Left Corner 3,Left Side(L),24+ ft.,40.0
Adreian Payne,Mid-Range,Center(C),16-24 ft.,42.857142857142854
Adreian Payne,Mid-Range,Center(C),8-16 ft.,0.0
Adreian Payne,Mid-Range,Left Side Center(LC),16-24 ft.,23.076923076923077
Adreian Payne,Mid-Range,Left Side(L),16-24 ft.,40.0
Adreian Payne,Mid-Range,Left Side(L),8-16 ft.,66.66666666666666
Adreian Payne,Mid-Range,Right Side Center(RC),16-24 ft.,50.0
Adreian Payne,Mid-Range,Right Side(R),16-24 ft.,0.0
Adreian Payne,Mid-Range,Right Side(R),8-16 ft.,33.33333333333333
Adreian Payne,Restricted Area,Center(C),Less Than 8 ft.,51.28205128205128
Adreian Payne,Right Corner 3,Right Side(R),24+ ft.,0.0
Al Horford,Above the Break 3,Center(C),24+ ft.,34.69387755102041
Al Horford,Above the Break 3,Left Side Center(LC),24+ ft.,43.75
Al Horford,Above the Break 3,Right Side Center(RC),24+ ft.,33.9622641509434
Al Horford,In The Paint (Non-RA),Center(C),8-16 ft.,29.629629629629626
Al Horford,In The Paint (Non-RA),Center(C),Less Than 8 ft.,44.18604651162791
Al Horford,In The Paint (Non-RA),Left Side(L),8-16 ft.,25.0
Al Horford,In The Paint (Non-RA),Right Side(R),8-16 ft.,42.857142857142854
Al Horford,Left Corner 3,Left Side(L),24+ ft.,28.57142857142857
Al Horford,Mid-Range,Center(C),16-24 ft.,52.85714285714286
Al Horford,Mid-Range,Center(C),8-16 ft.,30.0
Al Horford,Mid-Range,Left Side Center(LC),16-24 ft.,44.89795918367347
Al Horford,Mid-Range,Left Side(L),16-24 ft.,48.38709677419355
Al Horford,Mid-Range,Left Side(L),8-16 ft.,23.076923076923077
Al Horford,Mid-Range,Right Side Center(RC),16-24 ft.,53.333333333333336
Al Horford,Mid-Range,Right Side(R),16-24 ft.,44.680851063829785
Al Horford,Mid-Range,Right Side(R),8-16 ft.,36.36363636363637
Al Horford,Restricted Area,Center(C),Less Than 8 ft.,72.53731343283583
Al Horford,Right Corner 3,Right Side(R),24+ ft.,25.581395348837212
Al Jefferson,In The Paint (Non-RA),Center(C),8-16 ft.,41.935483870967744
Al Jefferson,In The Paint (Non-RA),Center(C),Less Than 8 ft.,43.13725490196079
Al Jefferson,In The Paint (Non-RA),Left Side(L),8-16 ft.,37.93103448275862
Al Jefferson,In The Paint (Non-RA),Right Side(R),8-16 ft.,33.33333333333333
Al Jefferson,Mid-Range,Center(C),16-24 ft.,50.0
Al Jefferson,Mid-Range,Center(C),8-16 ft.,40.0
Al Jefferson,Mid-Range,Left Side Center(LC),16-24 ft.,30.0
Al Jefferson,Mid-Range,Left Side(L),16-24 ft.,56.00000000000001
Al Jefferson,Mid-Range,Left Side(L),8-16 ft.,34.090909090909086
Al Jefferson,Mid-Range,Right Side Center(RC),16-24 ft.,60.0
Al Jefferson,Mid-Range,Right Side(R),16-24 ft.,53.333333333333336
