PLAYER_NAME,PLAYER_ID
Wesley Matthews,202083
Gorgui Dieng,203476
Alex Len,203458
Klay Thompson,202691
Hollis Thompson,203138
Sasha Kaun,201619
Elfrid Payton,203901
Kent Bazemore,203145
Devyn Marble,203906
James Johnson,201949
Jerian Grant,1626170
Jason Terry,1891
Lance Stephenson,202362
Kevin Seraphin,202338
Bobby Portis,1626171
Chase Budinger,201978
Ish Smith,202397
Taj Gibson,201959
DeAndre Jordan,201599
Johnny O'Bryant III,203948
Festus Ezeli,203105
James Ennis III,203516
Mirza Teletovic,203141
Tony Wroten,203100
Damjan Rudez,204014
Danilo Gallinari,201568
Myles Turner,1626167
CJ Miles,101139
Joe Ingles,204060
Tony Snell,203503
Marvin Williams,101107
Andrew Wiggins,203952
Devin Harris,2734
Andrew Goudelock,202726
Willie Reed,203186
Raul Neto,203526
Chris McCullough,1626191
Nicolas Batum,201587
Tibor Pleiss,202353
Kendall Marshall,203088
Greg Monroe,202328
Darren Collison,201954
Joel Anthony,201202
Jordan Adams,203919
JaVale McGee,201580
Luis Scola,2449
Meyers Leonard,203086
Kevin Martin,2755
Dahntay Jones,2563
O.J. Mayo,201564
Cory Joseph,202709
Mo Williams,2590
Manu Ginobili,1938
James Anderson,202341
Hassan Whiteside,202355
Rudy Gobert,203497
Tony Allen,2754
Jared Sullinger,203096
Darrell Arthur,201589
Matt Barnes,2440
Giannis Antetokounmpo,203507
Brandon Bass,101138
Dennis Schroder,203471
T.J. McConnell,204456
Brandon Jennings,201943
C.J. Watson,201228
Gordon Hayward,202330
Montrezl Harrell,1626149
Shabazz Napier,203894
Jonas Valanciunas,202685
Cristiano Felicio,1626245
Rodney Hood,203918
Lavoy Allen,202730
Timofey Mozgov,202389
Aaron Brooks,201166
Cole Aldrich,202332
Avery Bradley,202340
Julius Randle,203944
Carl Landry,201171
Marcus Smart,203935
Nikola Vucevic,202696
Allen Crabbe,203459
Trevor Ariza,2772
Jimmy Butler,202710
Evan Fournier,203095
Andrew Nicholson,203094
Dirk Nowitzki,1717
Lorenzo Brown,203485
Trevor Booker,202344
Jameer Nelson,2749
Kyle Anderson,203937
Isaiah Thomas,202738
Terrence Ross,203082
Gerald Green,101123
Roy Hibbert,201579
Christian Wood,1626174
Larry Nance Jr.,1626204
Toney Douglas,201962
Zaza Pachulia,2585
Donatas Motiejunas,202700
Victor Oladipo,203506
Doug McDermott,203926
Isaiah Canaan,203477
JJ Hickson,201581
Reggie Bullock,203493
Rondae Hollis-Jefferson,1626178
James Harden,201935
Harrison Barnes,203084
Nick Collison,2555
Joffrey Lauvergne,203530
Karl-Anthony Towns,1626157
Josh Smith,2746
Stanley Johnson,1626169
Serge Ibaka,201586
Henry Sims,203156
Glenn Robinson III,203922
Deron Williams,101114
PJ Tucker,200782
Luke Babbitt,202337
Tim Hardaway Jr.,203501
Willie Cauley-Stein,1626161
Stephen Curry,201939
Michael Carter-Williams,203487
Alonzo Gee,202087
Nikola Mirotic,202703
Tim Duncan,1495
Mitch McGary,203956
Rashad Vaughn,1626173
Lucas Nogueira,203512
Marco Belinelli,201158
James Michael McAdoo,203949
Blake Griffin,201933
Wesley Johnson,202325
Jonathon Simmons,203613
Salah Mejri,1626257
Kosta Koufos,201585
Ronnie Price,101179
Tyler Johnson,204020
KJ McDaniels,203909
Kendrick Perkins,2570
Briante Weber,1627362
Ben McLemore,203463
JaMychal Green,203210
Darrun Hilliard,1626199
Mason Plumlee,203486
Clint Capela,203991
Brandon Knight,202688
Dwyane Wade,2548
Derrick Rose,201565
Thabo Sefolosha,200757
Dante Cunningham,201967
Shayne Whittington,203963
Jordan Hill,201941
Adreian Payne,203940
Frank Kaminsky,1626163
DeMar DeRozan,201942
Tiago Splitter,201168
DeMarcus Cousins,202326
George Hill,201588
Matt Bonner,2588
Justin Anderson,1626147
Spencer Hawes,201150
Drew Gooden,2400
Tony Parker,2225
Shaun Livingston,2733
Anthony Brown,1626148
Kevin Durant,201142
Patrick Patterson,202335
Udonis Haslem,2617
Monta Ellis,101145
Jordan Hamilton,202706
Donald Sloan,202388
Patty Mills,201988
LaMarcus Aldridge,200746
Emmanuel Mudiay,1626144
Tayshaun Prince,2419
Brian Roberts,203148
Kyle Singler,202713
Mario Hezonja,1626209
Jrue Holiday,201950
Jarell Eddie,204067
Joe Johnson,2207
Cleanthony Early,203921
Jerami Grant,203924
Tyler Ennis,203898
Jeff Green,201145
Tyreke Evans,201936
Rudy Gay,200752
Kevin Love,201567
Dwight Powell,203939
Anthony Davis,203076
Goran Dragic,201609
Channing Frye,101112
Joe Young,1626202
Langston Galloway,204038
Rajon Rondo,200765
Shelvin Mack,202714
Jamal Crawford,2037
Jodie Meeks,201975
Corey Brewer,201147
Andre Iguodala,2738
David Lee,101135
Robert Covington,203496
Enes Kanter,202683
Ryan Kelly,203527
Mike Miller,2034
Branden Dawson,1626183
Bismack Biyombo,202687
RJ Hunter,1626154
